"serverName","Number of Logical CPU","hyperthread_ratio","Number of Physical CPU"
"DFHLBDMSQL07","4","1","4"
"DFHLBDMSQL08","4","1","4"
"DFHLBDMSQL09","2","2","1"
"DFHLBDMSQL12","2","1","2"
"DFHLBDMSQL13","2","1","2"
"DFHLBDMSQL14","2","1","2"
"DFHLBDMSSIS01","2","2","1"
"DFHLBDMSSIS02","2","1","2"
"DFHLBDMSSRS04","2","1","2"
"DFHLBDMSQL10","12","2","6"
"SQLTEST2016","4","4","1"
"SQLTEST2016-1","2","1","2"
"HVMSQL04","4","1","4"
"PADMINSQL01","8","1","8"
"PADMINSQL02","4","2","2"
"PADMINSQL03","2","1","2"
"PDSXAPP02","2","1","2"
"PFHLBDMSQL05","6","1","6"
"PFHLBDMSQL07","8","2","4"
"PFHLBDMSQL08","4","1","4"
"PFHLBDMSQL09","2","1","2"
"PFHLBDMSQL10","12","3","4"
"PFHLBDMSQL12","9","3","3"
"PFHLBDMSQL13","6","1","6"
"PFHLBDMSQL14","16","4","4"
"PFHLBDMSSIS01","4","2","2"
"PFHLBDMSSIS02","2","1","2"
"PFHLBDMSSRS04","4","1","4"
"PFOGSQL01","4","1","4"
"PQRMSQL11","8","2","4"
"PSHAREPSQL02","2","1","2"
"PVMSQL04","4","1","4"
"TFHLBDMSQL05","2","1","2"
"TFHLBDMSQL07","4","1","4"
"TFHLBDMSQL09","2","2","1"
"TFHLBDMSQL12","2","1","2"
"TFHLBDMSQL13","2","1","2"
"TFHLBDMSQL14","4","2","2"
"TFHLBDMSQL14","4","2","2"
"TFHLBDMSSIS01","2","1","2"
"TFHLBDMSSIS02","2","1","2"
"TFHLBDMSSRS04","2","1","2"
"TVIEWSQL01","2","1","2"
"TQRMSQL11","4","2","2"
"TSHAREPSQL02","2","1","2"
"UFHLBDMSQL07","4","1","4"
"UFHLBDMSQL12","2","1","2"
"UFHLBDMSQL14","6","2","3"
"UFHLBDMSSIS01","2","1","2"
"UFHLBDMSSIS02","2","1","2"
"UFHLBDMSSRS04","2","1","2"
"UFHLBDMSQL10","12","2","6"
"TFHLBDMSQL10","4","4","1"
"DFHLBDMSQL15","4","1","4"
"TFHLBDMSQL15","4","1","4"
"UFHLBDMSQL15","4","1","4"
"PFHLBDMSQL15","4","1","4"
"PFHLBDMSQL16","4","1","4"
"TFHLBDMSQL16","4","1","4"
"DFHLBDMSQL16","4","1","4"
"UFHLBDMSQL16","4","1","4"
"PIDERAAPP01","4","1","4"
