working on SERVER_NAME,Status,LOGIN_NAME,JOB_NAME,IS_ENABLED,LastRun,JOB_ID,DESCRIPTION,DATE_CREATED,DATE_MODIFIED,DATABASE NAME
SERVER_NAME,Status,LOGIN_NAME,JOB_NAME,IS_ENABLED,LastRun,JOB_ID,DESCRIPTION,DATE_CREATED,DATE_MODIFIED,DATABASE NAME
working on DDMSQL07,Success,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,10/23/2017 9:23,814977c4-f550-4629-bd83-1a25bb669af2,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:34,master
DDMSQL07,Success,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,10/23/2017 9:23,814977c4-f550-4629-bd83-1a25bb669af2,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:34,master
working on DDMSQL07,Never Ran,sa,Output File Cleanup,Yes,,91646239-a96c-4367-9276-24b437e97f3a,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
DDMSQL07,Never Ran,sa,Output File Cleanup,Yes,,91646239-a96c-4367-9276-24b437e97f3a,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
working on DDMSQL07,Success,DM\svc_dbmaint,StatisticsOptimize - USER_DATABASES,Yes,10/23/2017 2:00,12feea3c-235a-48ad-9b54-322a882bb697,No description available.,3/27/2017 13:36,3/27/2017 13:37,master
DDMSQL07,Success,DM\svc_dbmaint,StatisticsOptimize - USER_DATABASES,Yes,10/23/2017 2:00,12feea3c-235a-48ad-9b54-322a882bb697,No description available.,3/27/2017 13:36,3/27/2017 13:37,master
working on DDMSQL07,Failed,DM\svc_dbmaint,Maintenance_UserDBs.Subplan_1,Yes,9/15/2017 5:00,e54665b9-f9bd-49b3-9653-42d51960d6f6,No description available.,9/24/2014 13:31,3/27/2017 13:35,master
DDMSQL07,Failed,DM\svc_dbmaint,Maintenance_UserDBs.Subplan_1,Yes,9/15/2017 5:00,e54665b9-f9bd-49b3-9653-42d51960d6f6,No description available.,9/24/2014 13:31,3/27/2017 13:35,master
working on DDMSQL07,Success,DM\svc_dbmaint,Maintenance_UserDBs.Subplan_1,Yes,10/20/2017 5:00,e54665b9-f9bd-49b3-9653-42d51960d6f6,No description available.,9/24/2014 13:31,3/27/2017 13:35,master
DDMSQL07,Success,DM\svc_dbmaint,Maintenance_UserDBs.Subplan_1,Yes,10/20/2017 5:00,e54665b9-f9bd-49b3-9653-42d51960d6f6,No description available.,9/24/2014 13:31,3/27/2017 13:35,master
working on DDMSQL07,Canceled,DM\svc_dbmaint,Maintenance_UserDBs.Subplan_1,Yes,9/22/2017 5:00,e54665b9-f9bd-49b3-9653-42d51960d6f6,No description available.,9/24/2014 13:31,3/27/2017 13:35,master
DDMSQL07,Canceled,DM\svc_dbmaint,Maintenance_UserDBs.Subplan_1,Yes,9/22/2017 5:00,e54665b9-f9bd-49b3-9653-42d51960d6f6,No description available.,9/24/2014 13:31,3/27/2017 13:35,master
working on DDMSQL07,Never Ran,sa,DatabaseBackup - USER_DATABASES - DIFF,No,,4b40bd96-9b87-4613-bd4a-430ef5c32787,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:16,master
DDMSQL07,Never Ran,sa,DatabaseBackup - USER_DATABASES - DIFF,No,,4b40bd96-9b87-4613-bd4a-430ef5c32787,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:16,master
working on DDMSQL07,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,db52cb8f-6073-49fe-b8fe-61289289c7f2,No description available.,9/23/2014 11:01,9/23/2014 11:01,master
DDMSQL07,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,db52cb8f-6073-49fe-b8fe-61289289c7f2,No description available.,9/23/2014 11:01,9/23/2014 11:01,master
working on DDMSQL07,Never Ran,sa,sp_delete_backuphistory,Yes,,a993e639-a3eb-4f8b-87e2-66711d0f4571,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
DDMSQL07,Never Ran,sa,sp_delete_backuphistory,Yes,,a993e639-a3eb-4f8b-87e2-66711d0f4571,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
working on DDMSQL07,Never Ran,sa,DatabaseIntegrityCheck - SYSTEM_DATABASES,Yes,,d9117742-72ce-46d5-8459-809279543160,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
DDMSQL07,Never Ran,sa,DatabaseIntegrityCheck - SYSTEM_DATABASES,Yes,,d9117742-72ce-46d5-8459-809279543160,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
working on DDMSQL07,Never Ran,sa,CommandLog Cleanup,Yes,,493c4c2f-e237-45ac-a243-82492b175095,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
DDMSQL07,Never Ran,sa,CommandLog Cleanup,Yes,,493c4c2f-e237-45ac-a243-82492b175095,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
working on DDMSQL07,Never Ran,sa,DatabaseBackup - SYSTEM_DATABASES - FULL,No,,2d7a1bbb-1d24-4113-aa53-8716420211d9,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:16,master
DDMSQL07,Never Ran,sa,DatabaseBackup - SYSTEM_DATABASES - FULL,No,,2d7a1bbb-1d24-4113-aa53-8716420211d9,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:16,master
working on DDMSQL07,Success,sa,DatabaseIntegrityCheck - USER_DATABASES,Yes,9/22/2017 11:46,bd1899f4-66ad-4712-b8bb-ba76d932c628,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
DDMSQL07,Success,sa,DatabaseIntegrityCheck - USER_DATABASES,Yes,9/22/2017 11:46,bd1899f4-66ad-4712-b8bb-ba76d932c628,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
working on DDMSQL07,Never Ran,sa,DatabaseBackup - USER_DATABASES - FULL,No,,0a58f2f5-1e8b-408c-b911-c0fd6bab2651,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:16,master
DDMSQL07,Never Ran,sa,DatabaseBackup - USER_DATABASES - FULL,No,,0a58f2f5-1e8b-408c-b911-c0fd6bab2651,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:16,master
working on DDMSQL07,Failed,DM\SFurness,Backup_UserDBs.Subplan_1,No,5/4/2017 0:00,025a64bc-a4a5-4b41-a6de-dcf05b76bbc2,No description available.,9/24/2014 13:27,5/4/2017 11:58,master
DDMSQL07,Failed,DM\SFurness,Backup_UserDBs.Subplan_1,No,5/4/2017 0:00,025a64bc-a4a5-4b41-a6de-dcf05b76bbc2,No description available.,9/24/2014 13:27,5/4/2017 11:58,master
working on DDMSQL07,Success,DM\SFurness,Backup_UserDBs.Subplan_1,No,12/19/2014 0:00,025a64bc-a4a5-4b41-a6de-dcf05b76bbc2,No description available.,9/24/2014 13:27,5/4/2017 11:58,master
DDMSQL07,Success,DM\SFurness,Backup_UserDBs.Subplan_1,No,12/19/2014 0:00,025a64bc-a4a5-4b41-a6de-dcf05b76bbc2,No description available.,9/24/2014 13:27,5/4/2017 11:58,master
working on DDMSQL07,Never Ran,sa,sp_purge_jobhistory,Yes,,0cb62978-9af5-4569-8825-f5b39fd86f87,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
DDMSQL07,Never Ran,sa,sp_purge_jobhistory,Yes,,0cb62978-9af5-4569-8825-f5b39fd86f87,Source: https://ola.hallengren.com,5/2/2015 20:30,5/2/2015 20:30,master
working on DDMSQL07,Never Ran,sa,DatabaseBackup - USER_DATABASES - LOG,No,,fc89fd75-b896-46e6-9d48-fa39e427c694,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:16,master
DDMSQL07,Never Ran,sa,DatabaseBackup - USER_DATABASES - LOG,No,,fc89fd75-b896-46e6-9d48-fa39e427c694,Source: https://ola.hallengren.com,5/2/2015 20:30,3/27/2017 13:16,master
working on DDMSQL08,Never Ran,sa,Aggregate Data SQLdmRepository,Yes,,e73c19b7-b02d-4a2f-86e0-1a59a661e198,Aggregate query data into day-length records.,5/16/2016 9:07,5/16/2016 9:07,master
DDMSQL08,Never Ran,sa,Aggregate Data SQLdmRepository,Yes,,e73c19b7-b02d-4a2f-86e0-1a59a661e198,Aggregate query data into day-length records.,5/16/2016 9:07,5/16/2016 9:07,master
working on DDMSQL08,Never Ran,sa,Groom SQLdmRepository,Yes,,37feeb77-92df-4a53-baab-c7affba4005f,"Groom the SQLdm repository by deleting monitored servers that have been flagged for deletion and removing old alerts, tasks, and metrics.",5/16/2016 9:07,5/16/2016 9:07,master
DDMSQL08,Never Ran,sa,Groom SQLdmRepository,Yes,,37feeb77-92df-4a53-baab-c7affba4005f,"Groom the SQLdm repository by deleting monitored servers that have been flagged for deletion and removing old alerts, tasks, and metrics.",5/16/2016 9:07,5/16/2016 9:07,master
working on DDMSQL08,Never Ran,sa,syspolicy_purge_history,Yes,,44f696ef-73c4-4d01-9500-c86ff45a5dff,No description available.,10/30/2014 13:11,10/30/2014 13:11,master
DDMSQL08,Never Ran,sa,syspolicy_purge_history,Yes,,44f696ef-73c4-4d01-9500-c86ff45a5dff,No description available.,10/30/2014 13:11,10/30/2014 13:11,master
working on DDMSQL09,Success,sa,Remove Posted PJOURNALs From All Companies,Yes,10/23/2017 11:00,f4e2dbd7-6907-4cb4-b812-4b7e4622f4a8,Periodically calls procedure to delete PJOURNAL rows that are ready for removal from each company,5/17/2017 9:45,5/17/2017 9:45,master
DDMSQL09,Success,sa,Remove Posted PJOURNALs From All Companies,Yes,10/23/2017 11:00,f4e2dbd7-6907-4cb4-b812-4b7e4622f4a8,Periodically calls procedure to delete PJOURNAL rows that are ready for removal from each company,5/17/2017 9:45,5/17/2017 9:45,master
working on DDMSQL09,Success,sa,Scan For Invalid AD Users and Expired Delegations For All Companies (DYNAMICS),Yes,10/23/2017 0:00,ec628502-732a-4173-9dbd-518e099b1244,This job will remove Out Of Office delegation records that are tied to invalid AD users.  It will also turn off OOO Delegation for records that have expired.,5/23/2017 15:26,5/23/2017 15:26,master
DDMSQL09,Success,sa,Scan For Invalid AD Users and Expired Delegations For All Companies (DYNAMICS),Yes,10/23/2017 0:00,ec628502-732a-4173-9dbd-518e099b1244,This job will remove Out Of Office delegation records that are tied to invalid AD users.  It will also turn off OOO Delegation for records that have expired.,5/23/2017 15:26,5/23/2017 15:26,master
working on DDMSQL09,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,c33ec532-e6ac-4060-98bc-5ce8ec9bfb5c,No description available.,5/11/2015 11:18,5/11/2015 11:18,master
DDMSQL09,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,c33ec532-e6ac-4060-98bc-5ce8ec9bfb5c,No description available.,5/11/2015 11:18,5/11/2015 11:18,master
working on DDMSQL09,Success,sa,Remove Posted PJOURNALs From All Companies (DYNAMICS),Yes,10/23/2017 11:00,39c81cd6-facd-4073-97e4-9773d8b76e95,Periodically calls procedure to delete PJOURNAL rows that are ready for removal from each company,5/23/2017 15:26,5/23/2017 15:26,master
DDMSQL09,Success,sa,Remove Posted PJOURNALs From All Companies (DYNAMICS),Yes,10/23/2017 11:00,39c81cd6-facd-4073-97e4-9773d8b76e95,Periodically calls procedure to delete PJOURNAL rows that are ready for removal from each company,5/23/2017 15:26,5/23/2017 15:26,master
working on DDMSQL09,Success,sa,Scan For Overdue Workflow Tasks For All Companies (DYNAMICS),Yes,10/23/2017 11:00,c25949d3-3b06-460b-a7da-b6b3a3daa474,"This job will scan the list of tasks in the Workflow Tasks table (WFI10004) and see if there are any overdue.  If there are any overdue, wfEscalate will run for every unique occurance of wfStepInstanceID.",5/23/2017 15:26,5/23/2017 15:26,master
DDMSQL09,Success,sa,Scan For Overdue Workflow Tasks For All Companies (DYNAMICS),Yes,10/23/2017 11:00,c25949d3-3b06-460b-a7da-b6b3a3daa474,"This job will scan the list of tasks in the Workflow Tasks table (WFI10004) and see if there are any overdue.  If there are any overdue, wfEscalate will run for every unique occurance of wfStepInstanceID.",5/23/2017 15:26,5/23/2017 15:26,master
working on DDMSQL12,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,713e9536-e231-4fe1-918a-12fc1679cc35,No description available.,6/3/2010 11:49,6/3/2010 11:49,master
DDMSQL12,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,713e9536-e231-4fe1-918a-12fc1679cc35,No description available.,6/3/2010 11:49,6/3/2010 11:49,master
working on DDMSQL12,Never Ran,sa,DatabaseBackup - USER_DATABASES - DIFF,Yes,,0660b3c7-71a6-4f08-9431-138cfdb4b112,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
DDMSQL12,Never Ran,sa,DatabaseBackup - USER_DATABASES - DIFF,Yes,,0660b3c7-71a6-4f08-9431-138cfdb4b112,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on DDMSQL12,Never Ran,sa,DatabaseBackup - USER_DATABASES - LOG,Yes,,38f50ca7-9e71-4085-bc82-20f5a34976ea,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
DDMSQL12,Never Ran,sa,DatabaseBackup - USER_DATABASES - LOG,Yes,,38f50ca7-9e71-4085-bc82-20f5a34976ea,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on DDMSQL12,Failed,DM\svc_dbmaint,Integrity Check User databases.Subplan_1,No,8/29/2017 5:00,aa3cd1b9-4a80-469c-bf6c-3cc94c3e7df9,No description available.,10/2/2013 12:59,8/29/2017 9:50,master
DDMSQL12,Failed,DM\svc_dbmaint,Integrity Check User databases.Subplan_1,No,8/29/2017 5:00,aa3cd1b9-4a80-469c-bf6c-3cc94c3e7df9,No description available.,10/2/2013 12:59,8/29/2017 9:50,master
working on DDMSQL12,Failed,DM\dataware,Long_io_monitor_eventvwr.vbs,No,4/13/2015 15:40,0bfb08fa-23af-41b1-85ab-5314f2af1f8d,C:\Program Files (x86)\Microsoft SQL Server\scripts\monitoring\Long_io_monitor_eventvwr.vbs.  Job monitors long io from eventvwr.  The goal is to coorelate these to the disk subsystem to determine if it is an issue or if there is an app causing it to be an issue.,8/16/2012 7:55,4/13/2015 15:53,master
DDMSQL12,Failed,DM\dataware,Long_io_monitor_eventvwr.vbs,No,4/13/2015 15:40,0bfb08fa-23af-41b1-85ab-5314f2af1f8d,C:\Program Files (x86)\Microsoft SQL Server\scripts\monitoring\Long_io_monitor_eventvwr.vbs.  Job monitors long io from eventvwr.  The goal is to coorelate these to the disk subsystem to determine if it is an issue or if there is an app causing it to be an issue.,8/16/2012 7:55,4/13/2015 15:53,master
