working on Column1,UsedSpaceInGB
Column1,UsedSpaceInGB
working on PQRMSQL11,994.99
PQRMSQL11,994.99
working on TDMSQL14,927.18
TDMSQL14,927.18
working on DDMSQL10,764.81
DDMSQL10,764.81
working on PDMSQL14,734.82
PDMSQL14,734.82
working on DDMSQL14,709.36
DDMSQL14,709.36
working on PDMSQL12,613.05
PDMSQL12,613.05
working on PADMINSQL01,591.02
PADMINSQL01,591.02
working on UDMSQL14,504.59
UDMSQL14,504.59
working on DDMSQL07,496.02
DDMSQL07,496.02
working on DDMSQL12,460.38
DDMSQL12,460.38
working on TQRMSQL11,438.49
TQRMSQL11,438.49
working on TDMSQL14,346.66
TDMSQL14,346.66
working on TDMSQL12,333.08
TDMSQL12,333.08
working on PDMSQL10,312.71
PDMSQL10,312.71
working on PDMSQL07,297.41
PDMSQL07,297.41
working on PSHAREPSQL02,257.97
PSHAREPSQL02,257.97
working on TDMSQL10,257.93
TDMSQL10,257.93
working on TDMSQL07,245.51
TDMSQL07,245.51
working on UDMSQL07,211.81
UDMSQL07,211.81
working on PVMSQL04,189.09
PVMSQL04,189.09
working on TSHAREPSQL02,188.18
TSHAREPSQL02,188.18
working on UDMSQL10,177.52
UDMSQL10,177.52
working on PDMSQL13,126.05
PDMSQL13,126.05
working on TDMSQL15,112.54
TDMSQL15,112.54
working on PADMINSQL02,112.34
PADMINSQL02,112.34
working on DDMSQL15,104.48
DDMSQL15,104.48
working on PFOGSQL01,89.04
PFOGSQL01,89.04
working on HVMSQL04,59.8
HVMSQL04,59.8
working on PDMSQL08,58.25
PDMSQL08,58.25
working on DDMSSIS01,40.51
DDMSSIS01,40.51
working on UDMSQL15,36.68
UDMSQL15,36.68
working on TDMSSIS01,34.2
TDMSSIS01,34.2
working on PDMSQL05,28.4
PDMSQL05,28.4
working on PDMSQL09,25.38
PDMSQL09,25.38
working on PDMSSIS01,25.09
PDMSSIS01,25.09
working on UDMSQL12,20.32
UDMSQL12,20.32
working on PADMINSQL03,18.04
PADMINSQL03,18.04
working on TDMSQL05,12.87
TDMSQL05,12.87
working on UDMSSIS01,11.22
UDMSSIS01,11.22
working on TDMSQL13,10.84
TDMSQL13,10.84
working on DDMSQL08,8.41
DDMSQL08,8.41
working on SQLTEST2016,6.09
SQLTEST2016,6.09
working on DDMSQL09,3.32
DDMSQL09,3.32
working on TDMSQL09,2.87
TDMSQL09,2.87
working on TVIEWSQL01,2.18
TVIEWSQL01,2.18
working on DDMSSRS04,1.37
DDMSSRS04,1.37
working on PDMSQL15,1.03
PDMSQL15,1.03
working on PDMSSRS04,0.99
PDMSSRS04,0.99
working on DDMSSIS02,0.51
DDMSSIS02,0.51
working on PDSXAPP02,0.49
PDSXAPP02,0.49
working on TDMSSRS04,0.43
TDMSSRS04,0.43
working on UDMSSRS04,0.37
UDMSSRS04,0.37
working on TDMSSIS02,0.34
TDMSSIS02,0.34
working on DDMSQL13,0.19
DDMSQL13,0.19
working on PDMSSIS02,0.13
PDMSSIS02,0.13
working on UDMSSIS02,0.13
UDMSSIS02,0.13
working on PDMSQL16,0.1
PDMSQL16,0.1
working on TDMSQL16,0.1
TDMSQL16,0.1
working on DDMSQL16,0.1
DDMSQL16,0.1
working on UDMSQL16,0.1
UDMSQL16,0.1
